variant,budget,tasks,failures,recallAtK,mrr,ndcgAtK,evidenceCoverage,taskSuccessRate,meanLatencyMs,p95LatencyMs,meanTokens
full,8000,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.5833333333333334,0.5833333333333334,1014.9458330277776,2912.8866770000022,6365.166666666667
without-dependencies,8000,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.5833333333333334,0.5833333333333334,301.7493149444433,449.2578689999973,5668.666666666667
full,,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.5833333333333334,0.5833333333333334,167.86263727777745,254.20736699999543,10201.083333333334
without-dependencies,,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.5833333333333334,0.5833333333333334,121.39065366666662,175.09137100000225,7184.666666666667
