variant,budget,tasks,failures,recallAtK,mrr,ndcgAtK,evidenceCoverage,taskSuccessRate,meanLatencyMs,p95LatencyMs,meanTokens
vector-topk,,60,0,0.25,0.09027777777777776,0.13013385930373755,0.25,0.25,27.53080599999991,41.06317400000262,3013.5833333333335
serial-hybrid,,60,0,0.5833333333333334,0.3000992063492064,0.3675548097718314,0.5833333333333334,0.5833333333333334,163.28940976666644,228.47826599999826,10201.083333333334
full,,60,0,0.5833333333333334,0.3000992063492064,0.3675548097718314,0.5833333333333334,0.5833333333333334,135.76347004999997,213.06013499999972,10201.083333333334
