variant,budget,tasks,failures,recallAtK,mrr,ndcgAtK,evidenceCoverage,taskSuccessRate,meanLatencyMs,p95LatencyMs,meanTokens
full,1000,36,12,0.25,0.20833333333333334,0.2192441461309548,0,0,605.2066020000012,1131.2376069999955,639.5
without-dependencies,1000,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0,0,211.25059530555714,294.6439769999997,954.75
full,2000,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.16666666666666666,0.16666666666666666,812.641196999999,1791.8507249999966,1923.5
without-dependencies,2000,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.16666666666666666,0.16666666666666666,245.21965127777833,366.0732459999999,1892
full,4000,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.25,0.25,869.5939210833343,1792.1427229999972,3828.5833333333335
without-dependencies,4000,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.4166666666666667,0.4166666666666667,251.7927315833343,357.0288019999862,3656.6666666666665
full,8000,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.6666666666666666,0.5833333333333334,926.5175221666674,2112.8555500000075,7166.916666666667
without-dependencies,8000,36,0,0.5833333333333334,0.30009920634920634,0.36755480977183147,0.5833333333333334,0.5833333333333334,258.0467801944461,344.8234000000084,5494.5
